,TxHash,BlockHeight,TimeStamp,From,To,Value,ContractAddress,Input,isError
0,0x075aa518db040753ffb6944c065abb806e3cbfe296bbca3293afc476ef06e5c2,1965339,1469673689,0x9a61f52a209d7a7f3d9f3525062aa62ed8931a05,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0.001000000000000000,NULL,NULL,0
1,0x5aef85f8e5b8ab11ddb143bf70c09d1751430468a46db7cb172c82ed65fb1f73,1965380,1469674433,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0.001000000000000000,NULL,NULL,0
2,0xb3c53a55031f004d2c19d6ee0f3740dfd8719bd69c685021a72edf9c9f1d5007,1966191,1469686164,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0.010420000000000000,NULL,NULL,0
0,0x872a76c231af2f44b17606511eff1e7494d19693b2367b5de026d01d7dcc7884,1966234,1469686707,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x80958bcf4b0e46fdd6be2765598e866553ce772e,0.010000000000000000,NULL,0x,0
3,0x2e89f14a501182307c3faa7b602503aab465cc3d5ee196762f15ba96b35a5ae3,1966345,1469688331,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,2.476556290000000000,NULL,NULL,0
1,0x2ecfcbee36b6688585210eba6ac25d62e7b2db223abce13aa20a75f5f1ac66cf,1966351,1469688471,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0xd288c3c7c0d5e65ad6323c48a453919c330c10a3,2.476136290000000000,NULL,0x,0
4,0x3ad654d6ee78b8512a7243d42537d1d243c3190023671e5bdf7915fec0d20de7,1966376,1469688870,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,25.474840000000000000,NULL,NULL,0
2,0xd259dfe932b790d0241c862867db5dcc3e6ec2e8c2c8712212dd92d10725ffc8,1966386,1469689017,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x2c285b142cc89b673aec5e839ff529573bda543a,6.474000000000000000,NULL,0x,0
3,0xc5b36c5aa0e81090d9891683d96ee7d46454457617bb3824e94f7a80729bc582,1966386,1469689017,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x1a289fcff158eb48fee654da87df0022da177515,19.000000000000000000,NULL,0x,0
5,0xb6e04e3ebb343cc31e7253c074da40f3b4dd82500c810d9b8a91f75d16884939,1971714,1469764701,0xc7c7f6660102e9a1fee1390df5c76ea5a5572ed3,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,1.073840000000000000,NULL,NULL,0
4,0x3e0ce5fe4daf40e720fd6dcc3ca59ea5f5dfef34a77c4511ad6800b4b23d6785,1971776,1469765692,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0xedf9d9adcd0a2dd49b8b577f04e860bd23e63cc9,0.083000000000000000,NULL,0x,0
5,0xed1e63cc525ed2cc0a038436a21b6bd988a1957bc3f483b54ec2ceab7409903f,1971776,1469765692,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x04740a3f831afa2b98bc0f4d522860df160dc4bc,0.990000000000000000,NULL,0x,0
